Supplier_ID,Supplier_Name,Contact_Person,Mobile_Number,City,State,Country,Lead_Time_Days,Supplier_Rating
SUP0110,LG Supplier 110,Reyansh Chatterjee,+917911047815,Bhubaneswar,Odisha,India,13,4.6
SUP0111,Puma Supplier 111,Saroj Khan,+918186564497,Pune,Maharashtra,India,2,4.1
SUP0112,Sony Supplier 112,Krishna Panda,+919098425880,Hyderabad,Telangana,India,9,4.4
SUP0113,Lakme Supplier 113,Aarohi Sharma,+917399661102,Lucknow,Uttar Pradesh,India,11,3.6
SUP0114,Adidas Supplier 114,Shaurya Shetty,+918584930775,Kochi,Kerala,India,17,4.1
SUP0115,IKEA Supplier 115,Vikram Iyer,+918420737819,Pune,Maharashtra,India,13,4.4
SUP0116,Boat Supplier 116,Ishaan Nair,+917518213060,Chennai,Tamil Nadu,India,8,3.7
SUP0117,Tata Supplier 117,Karan Kumar,+917822662216,Kochi,Kerala,India,8,4.5
SUP0118,HUL Supplier 118,Karan Verma,+919563196714,Chennai,Tamil Nadu,India,11,4.9
SUP0119,Nike Supplier 119,Shaurya Nair,+918549972386,Abu Dhabi,Abu Dhabi,UAE,7,3.7
SUP0120,Tata Supplier 120,Sai Gupta,+917195488441,Kochi,Kerala,India,3,4.1
SUP0121,HP Supplier 121,Rohan Chatterjee,+917440610570,Kochi,Kerala,India,2,4.2
SUP0122,Lakme Supplier 122,Aarohi Joshi,+917791835934,Bhubaneswar,Odisha,India,3,3.6
SUP0123,Lakme Supplier 123,Arjun Patel,+918721025347,Abu Dhabi,Abu Dhabi,UAE,17,3.3
SUP0124,Samsung Supplier 124,Sai Singh,+919417377633,Lucknow,Uttar Pradesh,India,11,3.3
SUP0125,Dell Supplier 125,Pooja Panda,+919604114475,Hyderabad,Telangana,India,9,4.5
SUP0126,Maybelline Supplier 126,Ankita Rao,+918277121963,Kolkata,West Bengal,India,15,3.7
SUP0127,Samsung Supplier 127,Anika Reddy,+917892442253,Jaipur,Rajasthan,India,8,3.6
SUP0128,Lenovo Supplier 128,Krishna Kumar,+919370788647,Mumbai,Maharashtra,India,4,3.5
SUP0129,Maybelline Supplier 129,Rahul Khan,+919018258729,Kolkata,West Bengal,India,11,3.3
SUP0130,Boat Supplier 130,Rahul Rao,+917305714736,Chennai,Tamil Nadu,India,9,4.8
SUP0131,HUL Supplier 131,Amit Mishra,+918825957977,Dubai,Dubai,UAE,5,4.1
SUP0132,HP Supplier 132,Ankita Gupta,+917610900200,Lucknow,Uttar Pradesh,India,4,3.3
SUP0133,Boat Supplier 133,Anika Shetty,+918239573053,Dubai,Dubai,UAE,16,3.4
SUP0134,Boat Supplier 134,Rahul Mangaraj,+918169288485,Kochi,Kerala,India,18,4.1
SUP0135,Sony Supplier 135,Anika Das,+918855548990,Bhubaneswar,Odisha,India,12,4.2
SUP0136,Sony Supplier 136,Krishna Shetty,+919521673791,Bangalore,Karnataka,India,2,4.9
SUP0137,Puma Supplier 137,Neha Das,+917752438459,Lucknow,Uttar Pradesh,India,17,4.1
SUP0138,Puma Supplier 138,Reyansh Shetty,+918872111746,Bhubaneswar,Odisha,India,17,4.8
SUP0139,Philips Supplier 139,Sara Joshi,+918378934717,Bhubaneswar,Odisha,India,5,4.7
SUP0140,IKEA Supplier 140,Rahul Chatterjee,+918237886015,Pune,Maharashtra,India,14,4.6
SUP0141,Samsung Supplier 141,Aarohi Patel,+918350840898,Ahmedabad,Gujarat,India,10,3.7
SUP0142,Prestige Supplier 142,Soumya Verma,+917004943787,Dubai,Dubai,UAE,16,3.9
SUP0143,Nestle Supplier 143,Diya Khan,+919141011556,Hyderabad,Telangana,India,16,4.5
SUP0144,Puma Supplier 144,Pooja Singh,+918237075775,Hyderabad,Telangana,India,16,4.7
SUP0145,Dell Supplier 145,Aarav Khan,+918027774780,Bhubaneswar,Odisha,India,7,3.7
SUP0146,Tata Supplier 146,Sara Patel,+917965081954,Bangalore,Karnataka,India,5,4.0
SUP0147,HP Supplier 147,Priya Mehta,+919185588660,Mumbai,Maharashtra,India,10,3.9
SUP0148,Lakme Supplier 148,Krishna Rao,+919367665472,Bhubaneswar,Odisha,India,6,3.9
SUP0149,Nestle Supplier 149,Vikram Singh,+917299832023,Jaipur,Rajasthan,India,10,4.5
SUP0150,IKEA Supplier 150,Anaya Verma,+918147497835,Abu Dhabi,Abu Dhabi,UAE,2,3.7
